First Name;Last Name;Company Name;Role In Company;Address;E-Mail;Phone Number;
"Maryam";"Watts";"NuStar Energy";"Recreation & Fitness Worker";"1010 Dam Road";"mwatts@nustarenergy.info";"69798006303";
"Sonny";"Ward";"Hyatt";"Recreation & Fitness Worker";"7996 queen street";"sward@hyatt.photography";"71689333762";
"Louie";"Burns";"QuikTrip";"Construction Manager";"2657 new street";"lburns@quiktrip.rentals";"60185997737";
"Zoe";"Baker";"American Fidelity Assurance";"Respiratory Therapist";"5777 west street";"zbaker@americanfidelityassurance.careers";"95460452898";
"Lucy";"Bishop";"Capital One";"Hairdresser";"5935 the crescent";"lbishop@capitalone.fit";"22173730237";
"Zoe";"Stevens";"Allianz Life Insurance Company of North America";"Physical Therapist";"5080 stanley road";"zstevens@allianzlifeinsurancecompanyofnorthamerica.plumbing";"58217868953";
"Maryam";"Rose";"Edward Jones";"Logistician";"8959 victoria road";"mrose@edwardjones.tax";"19338523452";
"Lucy";"Watson";"Southern Ohio Medical Center";"Software Developer";"3383 the grove";"lwatson@southernohiomedicalcenter.community";"34730228339";
"Imogen";"James";"Waterfront";"Maintenance & Repair Worker";"1643 grange road";"ijames@waterfront.republican";"75129368579";
"Nathan";"Wood";"TDIndustries";"Scientist";"1913 grove road";"nwood@tdindustries.how";"55839588544";
"Amelia";"Stewart";"OhioHealth";"Medical Assistant";"1434 the avenue";"astewart@ohiohealth.video";"49442185857";
"Scarlett";"Newton";"Whole Foods Market";"Lawyer";"6878 queens road";"snewton@wholefoodsmarket.theater";"48857723250";
"Bethany";"Woods";"Nationwide";"Carpenter";"9979 highfield road";"bwoods@nationwide.money";"46645816704";
"Jamie";"Rose";"Kimley-Horn";"Scientist";"8414 victoria road";"jrose@kimley-horn.media";"74563541710";
"Riley";"Evans";"Hyland";"Pharmacy Technician";"2422 new road";"revans@hyland.istanbul";"90249434090";
"Isabella";"Mcdonald";"CHG Healthcare Services";"Brickmason & Blockmason";"8962 albert road";"imcdonald@chghealthcareservices.tools";"55058203600";
"Benjamin";"Armstrong";"Cadence";"Carpenter";"6267 mill road";"barmstrong@cadence.international";"48779416745";
"Anna";"Parker";"Publix Super Markets";"Diagnostic Medical Sonographer";"3272 grove road";"aparker@publixsupermarkets.co.uk";"45754666673";
"Ella";"Butler";"Roche Diagnostics";"IT Manager";"4630 kings road";"ebutler@rochediagnostics.partners";"58941587745";
"Kian";"Atkinson";"Ultimate Software";"Physical Therapist";"7221 the avenue";"katkinson@ultimatesoftware.best";"97772540831";
